"Id","ChannelId","ChannelValue","TimeStamp"
"1542099","1","38134","2009-11-11 04:55:55"
"1542162","1","39685","2009-11-11 05:56:44"
"1542224","1","40902","2009-11-11 06:57:34"
"1542287","1","42423","2009-11-11 07:58:23"
"1542349","1","43457","2009-11-11 08:59:12"
"1542412","1","44126","2009-11-11 10:00:02"
"1542474","1","45160","2009-11-11 11:00:51"
"1542537","1","46528","2009-11-11 12:01:40"
"1542599","1","47501","2009-11-11 13:02:29"
"1542662","1","48595","2009-11-11 14:03:18"
"1542724","1","49264","2009-11-11 15:04:08"
"1542787","1","50997","2009-11-11 16:04:57"
"1542849","1","52183","2009-11-11 17:05:47"
"1542912","1","52882","2009-11-11 18:06:36"
"1542974","1","54554","2009-11-11 19:07:25"
"1543037","1","56469","2009-11-11 20:08:14"
"1543099","1","57564","2009-11-11 21:09:04"
"1543162","1","58263","2009-11-11 22:09:53"
"1543224","1","59692","2009-11-11 23:10:43"
"1543287","1","60544","2009-11-12 00:11:44"
"1572867","1","0","2009-11-12 00:23:23"
"1572930","1","1857","2009-11-12 01:24:13"
"1572992","1","2891","2009-11-12 02:25:01"
"1573055","1","4654","2009-11-12 03:25:50"
"1573117","1","5353","2009-11-12 04:26:39"
"1573180","1","7178","2009-11-12 05:27:28"
"1573242","1","7908","2009-11-12 06:28:17"
"1573305","1","9611","2009-11-12 07:29:06"
"1573367","1","11466","2009-11-12 08:29:56"
"1573430","1","12591","2009-11-12 09:30:45"
"1573492","1","14294","2009-11-12 10:31:35"
"1573555","1","15084","2009-11-12 11:32:24"
"1573617","1","16239","2009-11-12 12:33:13"
"1573680","1","17578","2009-11-12 13:34:03"
"1573742","1","18186","2009-11-12 14:34:51"
"1573805","1","19311","2009-11-12 15:35:40"
"1573867","1","20922","2009-11-12 16:36:29"
"1573930","1","21591","2009-11-12 17:37:17"
"1573992","1","23476","2009-11-12 18:38:05"
"1574055","1","24540","2009-11-12 19:38:54"
"1574117","1","26303","2009-11-12 20:39:42"
"1574180","1","27763","2009-11-12 21:40:31"
"1574242","1","29557","2009-11-12 22:41:21"
"1605635","1","0","2009-11-12 22:58:18"
"1605698","1","1070","2009-11-12 23:59:35"
"1605760","1","2771","2009-11-13 01:00:21"
"1605823","1","4474","2009-11-13 02:01:10"
"1605885","1","5569","2009-11-13 03:01:58"
"1605948","1","6968","2009-11-13 04:02:48"
"1606010","1","8367","2009-11-13 05:03:37"
"1606073","1","10070","2009-11-13 06:04:26"
"1606135","1","11377","2009-11-13 07:05:14"
"1606198","1","13170","2009-11-13 08:06:03"
"1606260","1","15329","2009-11-13 09:06:52"
"1606323","1","16758","2009-11-13 10:07:41"
"1606385","1","17488","2009-11-13 11:08:30"
"1606448","1","19252","2009-11-13 12:09:19"
"1606510","1","20377","2009-11-13 13:10:08"
"1606573","1","21138","2009-11-13 14:10:57"
"1606635","1","22628","2009-11-13 15:11:46"
"1606698","1","24270","2009-11-13 16:12:35"
"1606760","1","25486","2009-11-13 17:13:24"
"1606823","1","26824","2009-11-13 18:14:13"
"1606885","1","27950","2009-11-13 19:15:02"
"1606948","1","28892","2009-11-13 20:15:51"
"1607010","1","30291","2009-11-13 21:16:41"
"1607073","1","31630","2009-11-13 22:17:29"
"1607135","1","32726","2009-11-13 23:18:36"
"1607198","1","33516","2009-11-14 00:19:25"
"1607260","1","34641","2009-11-14 01:20:13"
"1607323","1","34854","2009-11-14 02:21:02"
"1607385","1","35736","2009-11-14 03:21:51"
"1607448","1","36800","2009-11-14 04:22:40"
"1607510","1","37834","2009-11-14 05:23:28"
"1607573","1","38837","2009-11-14 06:24:17"
"1607635","1","39020","2009-11-14 07:25:06"
"1607698","1","40024","2009-11-14 08:25:55"
"1607760","1","41027","2009-11-14 09:26:44"
"1607823","1","41453","2009-11-14 10:27:33"
"1607885","1","42456","2009-11-14 11:28:22"
"1607948","1","44098","2009-11-14 12:29:11"
"1608010","1","46957","2009-11-14 13:30:00"
"1608073","1","48509","2009-11-14 14:30:49"
"1608135","1","50212","2009-11-14 15:31:38"
"1608198","1","51733","2009-11-14 16:32:27"
"1608260","1","52615","2009-11-14 17:33:16"
"1608323","1","53071","2009-11-14 18:34:05"
"1608385","1","53983","2009-11-14 19:34:54"
"1608448","1","54499","2009-11-14 20:35:44"
"1608510","1","54864","2009-11-14 21:36:32"
"1608573","1","55746","2009-11-14 22:37:32"
"1608635","1","56628","2009-11-14 23:38:21"
"1608698","1","56659","2009-11-15 00:39:10"
"1608760","1","57632","2009-11-15 01:39:59"
"1608823","1","58575","2009-11-15 02:40:48"
"1608885","1","59487","2009-11-15 03:41:37"
"1608948","1","60004","2009-11-15 04:42:26"
"1609010","1","61129","2009-11-15 05:43:15"
"1609073","1","61828","2009-11-15 06:44:04"
"1609135","1","62315","2009-11-15 07:44:53"
"1609198","1","63075","2009-11-15 08:45:42"
"1609260","1","64048","2009-11-15 09:46:31"
"1609323","1","65538","2009-11-15 10:47:21"
"1609385","1","65994","2009-11-15 11:48:10"
"1609448","1","66937","2009-11-15 12:48:59"
"1609510","1","68032","2009-11-15 13:49:48"
"1609573","1","68488","2009-11-15 14:50:38"
"1609635","1","69553","2009-11-15 15:51:26"
"1609698","1","69553","2009-11-15 16:52:15"
"1609760","1","70526","2009-11-15 17:53:04"
"1609823","1","71773","2009-11-15 18:53:53"
"1609885","1","72897","2009-11-15 19:54:42"
"1609948","1","73992","2009-11-15 20:55:31"
"1610010","1","75299","2009-11-15 21:56:19"
"1610073","1","76195","2009-11-15 22:57:23"
"1610135","1","76712","2009-11-15 23:58:12"
"1610198","1","77654","2009-11-16 00:59:01"
